Airspace_Type,Polygon_ID,Vertex_Index,X,Y,Area,Perimeter
restricted_airspace,1,1,1471,2257,1496.0,428.617311835289
restricted_airspace,1,2,1469,2272,1496.0,428.617311835289
restricted_airspace,1,3,1484,2268,1496.0,428.617311835289
restricted_airspace,1,4,1468,2282,1496.0,428.617311835289
restricted_airspace,1,5,1574,2321,1496.0,428.617311835289
restricted_airspace,1,6,1559,2304,1496.0,428.617311835289
restricted_airspace,1,7,1516,2296,1496.0,428.617311835289
restricted_airspace,1,8,1523,2274,1496.0,428.617311835289
restricted_airspace,1,9,1514,2269,1496.0,428.617311835289
restricted_airspace,1,10,1497,2289,1496.0,428.617311835289
restricted_airspace,1,11,1502,2266,1496.0,428.617311835289
restricted_airspace,2,1,2536,2216,1620.5,306.4924213886261
restricted_airspace,2,2,2510,2205,1620.5,306.4924213886261
restricted_airspace,2,3,2507,2187,1620.5,306.4924213886261
restricted_airspace,2,4,2480,2191,1620.5,306.4924213886261
restricted_airspace,2,5,2478,2205,1620.5,306.4924213886261
restricted_airspace,2,6,2471,2189,1620.5,306.4924213886261
restricted_airspace,2,7,2459,2206,1620.5,306.4924213886261
restricted_airspace,2,8,2490,2210,1620.5,306.4924213886261
restricted_airspace,2,9,2483,2226,1620.5,306.4924213886261
restricted_airspace,2,10,2499,2229,1620.5,306.4924213886261
restricted_airspace,2,11,2519,2221,1620.5,306.4924213886261
restricted_airspace,2,12,2531,2228,1620.5,306.4924213886261
restricted_airspace,3,1,1013,2136,1003.0,458.70057225227356
restricted_airspace,3,2,972,2129,1003.0,458.70057225227356
restricted_airspace,3,3,979,2117,1003.0,458.70057225227356
restricted_airspace,3,4,963,2129,1003.0,458.70057225227356
restricted_airspace,3,5,846,2126,1003.0,458.70057225227356
restricted_airspace,4,1,1671,2036,1371.0,289.0782079696655
restricted_airspace,4,2,1628,2037,1371.0,289.0782079696655
restricted_airspace,4,3,1625,2053,1371.0,289.0782079696655
restricted_airspace,4,4,1643,2058,1371.0,289.0782079696655
restricted_airspace,4,5,1629,2059,1371.0,289.0782079696655
restricted_airspace,4,6,1626,2072,1371.0,289.0782079696655
restricted_airspace,4,7,1671,2072,1371.0,289.0782079696655
restricted_airspace,4,8,1672,2059,1371.0,289.0782079696655
restricted_airspace,4,9,1652,2061,1371.0,289.0782079696655
restricted_airspace,4,10,1645,2052,1371.0,289.0782079696655
restricted_airspace,4,11,1674,2052,1371.0,289.0782079696655
restricted_airspace,5,1,1853,1961,2694.0,508.2152907848358
restricted_airspace,5,2,1863,1977,2694.0,508.2152907848358
restricted_airspace,5,3,1851,1998,2694.0,508.2152907848358
restricted_airspace,5,4,1881,2007,2694.0,508.2152907848358
restricted_airspace,5,5,1862,2022,2694.0,508.2152907848358
restricted_airspace,5,6,1884,2034,2694.0,508.2152907848358
restricted_airspace,5,7,1864,2049,2694.0,508.2152907848358
restricted_airspace,5,8,1895,2048,2694.0,508.2152907848358
restricted_airspace,5,9,1927,2073,2694.0,508.2152907848358
restricted_airspace,5,10,1908,2013,2694.0,508.2152907848358
restricted_airspace,5,11,1886,2012,2694.0,508.2152907848358
restricted_airspace,5,12,1889,1987,2694.0,508.2152907848358
restricted_airspace,6,1,1947,1945,1750.0,220.99494755268097
restricted_airspace,6,2,1941,1960,1750.0,220.99494755268097
restricted_airspace,6,3,1951,1962,1750.0,220.99494755268097
restricted_airspace,6,4,1949,1980,1750.0,220.99494755268097
restricted_airspace,6,5,1988,1979,1750.0,220.99494755268097
restricted_airspace,6,6,1994,1975,1750.0,220.99494755268097
restricted_airspace,6,7,1992,1962,1750.0,220.99494755268097
restricted_airspace,6,8,2003,1959,1750.0,220.99494755268097
restricted_airspace,6,9,1993,1955,1750.0,220.99494755268097
restricted_airspace,6,10,1990,1940,1750.0,220.99494755268097
restricted_airspace,8,1,1047,1803,2678.5,709.0508579015732
restricted_airspace,8,2,981,1829,2678.5,709.0508579015732
restricted_airspace,8,3,936,1815,2678.5,709.0508579015732
restricted_airspace,8,4,947,1848,2678.5,709.0508579015732
restricted_airspace,8,5,866,1886,2678.5,709.0508579015732
restricted_airspace,8,6,894,1892,2678.5,709.0508579015732
restricted_airspace,9,1,767,1796,1058.5,339.2619733810425
restricted_airspace,9,2,845,1802,1058.5,339.2619733810425
restricted_airspace,9,3,846,1810,1058.5,339.2619733810425
restricted_airspace,9,4,825,1811,1058.5,339.2619733810425
restricted_airspace,9,5,828,1824,1058.5,339.2619733810425
restricted_airspace,9,6,858,1823,1058.5,339.2619733810425
restricted_airspace,9,7,849,1795,1058.5,339.2619733810425
restricted_airspace,10,1,1959,1765,3341.0,874.0630507469177
restricted_airspace,10,2,2006,1769,3341.0,874.0630507469177
restricted_airspace,10,3,2000,1812,3341.0,874.0630507469177
restricted_airspace,10,4,2037,1813,3341.0,874.0630507469177
restricted_airspace,10,5,2038,1834,3341.0,874.0630507469177
restricted_airspace,10,6,2092,1809,3341.0,874.0630507469177
restricted_airspace,10,7,2012,1800,3341.0,874.0630507469177
restricted_airspace,10,8,2046,1793,3341.0,874.0630507469177
restricted_airspace,10,9,2040,1769,3341.0,874.0630507469177
restricted_airspace,10,10,2126,1766,3341.0,874.0630507469177
